10х25 ласты выход мощно+ даскользить,
,250
закуп 200вс лопатки колопашка 600,
,800
Закуп,
,150
итог,2550
время,
,
18.12.2024,
"79,7",
6*100 обр компл без бата по 100,
,600
25 время 13.0 20 гребков,
,50
"4*50 лопатки  s  t=1' 10""",
,200
6*100 ласты большие кроль спина 100/100,
,600
4*50 лопатки  L  t = 1',
,200
6*100   брас  ноги 100/100,
,600
"4*50 вс  t=55""",
,200
Закуп 100,
,100
,
,
итог,2550
время,64
,
,
15.1.2024,
"79,8",
6*100 обр компл без бата по 100,
,600
25 время 13.0 20 гребков,
,50
"4*50 лопатки  s  t=1' 10""",
,200
6*100 ласты большие кроль спина 100/100,
,600
4*50 лопатки  L  t = 1',
,200
6*100   брас  ноги 100/100,
,600
"4*50 вс  t=55""",
,200
Закуп 100,
,100
,
,
итог,2550
время,64
,
,
19.2.2026,
,
,
600 вс ласты,
,600
"12*50 комплекс 3 бар руки ноги пк, 3 спина и тд",
,600
600 руки колопашки,
,600
6*50 режим минута начало с поворота,
,300
6*100 ноги,
,600
Закуп 200,
,200
,
,
,
,
,
,
итог,2900
время,64
,
16.1.2025,
77.75,
4*100 25 батт+75  вс,
,400
400 ps max 25 200 вс руки калап,
,600
200 копл ps max 27  200 руки н/с калап,
,400
100 вс ps max 29 + 200 брас руки калап,
,300
50 вс ps min 30 ,
,50
"4*50 12,5 проныр 12,5 осн 25 закуп",
,200
200 упр круг лопатки xl,
,200
100 ноги 100 закуп,
,200
,
,
итог,2350
время,59
,
5.2.2025,
79,
Горка 25-50-75-100-75-50-25 вс через 25 нс,
,550
4*125 ноги ласты 100 вс+25дельф/нс 100 закуп,
,500
3*100 брасс через 50 нс 100 закуп,
,450
8*100 вс колоп,
,800
400 компл,
,400
300 откуп,
,300
,
,
,
,
,
,
итог,3000
время,85
,
,
19.3.2026,
78.6,
200вс  200 ноги 200 руки,
,600
"200 ноги дельф руки кроль 25 пр 25 лев 50 пк 200 нс 25 правая 25 левая 50 пк, брасс 25 правая 25 левая 25 руки за спиной 25 пк",
,600
"200 ласты  компл ноги, 200 15 проныр+10 нс, 200 10 проныр 15 вс",
,600
200 50 бат 150 вс,
,200
"10*50 вс колоп лопатки s. 1'10""",
,500
3*200 компл ,
,600
,
,
,
,
,
,
итог,3100
время,77
,
,
26.3.2026,
,
Горка 25-50-75-100-75-50-25 вс через 25 нс,
,550
