,19,19,19,19,,3230
Жим одной ногой,50,50,50,50,,
,13,13,13,13,,2600
Жим 2мя ногами,150,150,150,150,,
,13,13,13,13,,7800
Подтягивания ,75,75,75,75,,
,14,14,14,14,,4200
Скручивания снизу,1,1,1,1,,
,18,18,18,18,,72
Выпады,20,20,20,20,,
,12,12,12,12,,960
,,,,,,
,,,,,,0
,,,,,,30308
,,,,,,
,,,,,,
05.02.2025,,,,,,
76.45,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,20,20,20,20,,2400
сгибания,40,40,40,40,,
,20,20,20,20,,3200
голени 2,70,70,70,70,,
,20,20,20,20,,5600
разгибания,42.5,42.5,42.5,42.5,,
,20,20,20,20,,3400
Жим одной ногой,50,50,50,50,,
,14,14,14,14,,2800
Жим 2мя ногами,150,150,150,150,,
,14,14,14,14,,8400
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,10,10,10,10,,
,20,20,20,20,,800
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,31106
,,,,,,
05.02.2025,,,,,,
76.45,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,20,20,20,20,,2400
сгибания,40,40,40,40,,
,20,20,20,20,,3200
голени 2,70,70,70,70,,
,20,20,20,20,,5600
разгибания,42.5,42.5,42.5,42.5,,
,20,20,20,20,,3400
Жим одной ногой,50,50,50,50,,
,14,14,14,14,,2800
Жим 2мя ногами,150,150,150,150,,
,14,14,14,14,,8400
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,10,10,10,10,,
,20,20,20,20,,800
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,31106
,,,,,,
,,,,,,
12.02.2025,,,,,,
,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,22,22,22,22,,2640
сгибания,40,40,40,40,,
,21,21,21,21,,3360
голени 2,70,70,70,70,,
,22,22,22,22,,6160
разгибания,42.5,42.5,42.5,42.5,,
,21,21,21,21,,3570
Жим одной ногой,50,50,50,50,,
,15,15,15,15,,3000
Жим 2мя ногами,150,150,150,150,,
,15,15,15,15,,9000
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,22,22,22,22,,1144
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,33380
,,,,,,
,,,,,,
12.03.2025,,,,,,
76.4,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,26,26,26,26,,3120
сгибания,40,40,40,40,,
,22,22,22,22,,3520
голени 2,70,70,70,70,,
,26,26,26,26,,7280
разгибания,42.5,42.5,42.5,42.5,,
,22,22,22,22,,3740
Жим одной ногой,60,60,60,60,,
,12,12,12,12,,2880
Жим 2мя ногами,160,160,160,160,,
,12,12,12,12,,7680
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,34078
,,,,,,
,,,,,,
19.03.2025,,,,,,
,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,28,28,28,28,,3360
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,70,70,70,70,,
,28,28,28,28,,7840
разгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
Жим одной ногой,60,60,60,60,,
,13,13,13,13,,3120
Жим 2мя ногами,160,160,160,160,,
,13,13,13,13,,8320
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,35302
,,,,,,
09.04.2025,,,,,,
,1,2,3,4,5,6
голени подъем,30,30,30,30,,
,28,28,28,28,,3360
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,70,70,70,70,,
,28,28,28,28,,7840
разгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
Жим одной ногой,60,60,60,60,,
,13,13,13,13,,3120
Жим 2мя ногами,160,160,160,160,,
,13,13,13,13,,8320
Подтягивания ,75,75,75,75,,
,15,15,15,15,,4500
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,35296
,,,,,,
,,,,,,
23.04.2025,,,,,,
,1,2,3,4,5,6
Верхний блок,59.5,59.5,59.5,59.5,,
,13,13,13,13,,3094
Тяга к подбородку,28,28,28,28,,
,14,14,14,14,,1568
Фронтальная Тяга,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,9,9,9,9,,
,14,14,14,14,,504
Нижний блок,50.5,50.5,50.5,50.5,,
,13,13,13,13,,2626
голени подъем,30,30,30,30,,
,28,28,28,28,,3360
сгибания,45,45,45,45,,
,18,18,18,18,,3240
голени 2,70,70,70,70,,
,28,28,28,28,,7840
разгибания,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
Жим одной ногой,60,60,60,60,,
,13,13,13,13,,3120
Жим 2мя ногами,160,160,160,160,,
,13,13,13,13,,8320
Скручивания сверху диагональные,13,13,13,13,,
,26,26,26,26,,1352
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,41188
,,,,,,
,,,,,,
