Тяга к подбородку,17.5,17.5,17.5,17.5,,
,13,13,13,13,,910
Рычажный жим,30,30,30,30,,
,14,14,14,14,,1680
Гантели развод,6,6,6,6,,
,13,13,13,13,,312
Жим от груди,38,38,38,38,,
,13,13,13,13,,1976
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,12,12,12,12,,336
бабочка,45,45,45,45,,
,13,13,13,13,,3780
обратная бабочка,31,31,31,31,,
,13,13,13,13,,1612
Разгибания из-за головы Триц,15,15,15,15,,
,13,13,13,13,,780
штанга биц,17.5,17.5,17.5,17.5,,
,13,13,13,13,,910
блок триц,21,21,21,21,,
,13,13,13,13,,1092
тренажер биц,32,32,32,32,,
,13,13,13,13,,1664
,,,,,,17572
,,,,,,
,,,,,,
27.12.2024,,,,,,
74.75,1,2,3,4,5,6
Жим Лежа,45,45,45,45,,
,15,15,15,15,,2700
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,15,15,15,15,,1050
Рычажный жим,30,30,30,30,,
,15,15,15,15,,1800
Гантели развод,6,6,6,6,,
,15,15,15,15,,360
Жим от груди,38,38,38,38,,
,15,15,15,15,,2280
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,13,13,13,13,,364
бабочка,45,45,45,45,,
,14,14,14,14,,3915
обратная бабочка,31,31,31,31,,
,15,15,15,15,,1860
Разгибания из-за головы Триц,15,15,15,15,,
,15,15,15,15,,900
штанга биц,17.5,17.5,17.5,17.5,,
,15,15,15,15,,1050
блок триц,23.5,23.5,23.5,23.5,,
,15,15,15,15,,1410
тренажер биц,32,32,32,32,,
,15,15,15,15,,1920
,,,,,,19609
,,,,,,
10.1.2025,,,,,,
74.15,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,11,11,11,11,,2200
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,16,16,16,16,,1120
Рычажный жим,40,40,40,40,,
,11,11,11,11,,1760
Гантели развод,6,6,6,6,,
,16,16,16,16,,384
Жим от груди,45,45,45,45,,
,11,11,11,11,,1980
Фронтальные подъемы вреевки перед собой,7.55,7.55,7.55,7.55,,
,16,16,16,16,,483.2
бабочка,45,45,45,45,,
,15,15,15,15,,4050
обратная бабочка,31,31,31,31,,
,16,16,16,16,,1984
Разгибания из-за головы Триц,15,15,15,15,,
,16,16,16,16,,960
штанга биц,17.5,17.5,17.5,17.5,,
,16,16,16,16,,1120
блок триц,23.5,23.5,23.5,23.5,,
,16,16,16,16,,1504
тренажер биц,32,32,32,32,,
,16,16,16,16,,2048
,,,,,,19593.2
,,,,,,
17.1.2025,,,,,,
73.65,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,13,13,13,13,,2600
Тяга к подбородку,17.5,17.5,17.5,17.5,,
,18,18,18,18,,1260
Рычажный жим,40,40,40,40,,
,12,12,12,12,,1920
Гантели развод,6,6,6,6,,
,18,18,18,18,,432
Жим от груди,45,45,45,45,,
,13,13,13,13,,2340
Фронтальные подъемы вреевки перед собой,7,7,7,7,,
,18,18,18,18,,504
бабочка,45,45,45,45,,
,17,17,17,17,,4320
обратная бабочка,31,31,31,31,,
,18,18,18,18,,2232
Разгибания из-за головы Триц,15,15,15,15,,
,18,18,18,18,,1080
штанга биц,17.5,17.5,17.5,17.5,,
,18,18,18,18,,1260
блок триц,23.5,23.5,23.5,23.5,,
,18,18,18,18,,1692
тренажер биц,32,32,32,32,,
,18,18,18,18,,2304
,,,,,,21944
,,,,,,
,,,,,,
17.1.2025,,,,,,
75.25,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,14,14,14,14,,2800
Тяга к подбородку,21,21,21,21,,
,13,13,13,13,,1092
Рычажный жим,40,40,40,40,,
,14,14,14,14,,2240
Гантели развод,7,7,7,7,,
,13,13,13,13,,364
Жим от груди,45,45,45,45,,
,14,14,14,14,,2520
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,12,12,12,12,,451.2
бабочка,49.5,49.5,49.5,49.5,,
,12,12,12,12,,4232.25
обратная бабочка,38,38,38,38,,
,13,13,13,13,,1976
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,
,13,13,13,13,,910
штанга биц,20,20,20,20,,
,13,13,13,13,,1040
блок триц,25,25,25,25,,
,13,13,13,13,,1300
тренажер биц,37,37,37,37,,
,13,13,13,13,,1924
,,,,,,20849.45
,,,,,,
,,,,,,
31.1.2025,,,,,,
75.1,1,2,3,4,5,6
Жим Лежа,50,50,50,50,,
,15,15,15,15,,3000
Тяга к подбородку,21,21,21,21,,
,15,15,15,15,,1260
Рычажный жим,40,40,40,40,,
,15,15,15,15,,2400
Гантели развод,7,7,7,7,,
,15,15,15,15,,420
Жим от груди,45,45,45,45,,
,15,15,15,15,,2700
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,13,13,13,13,,488.8
бабочка,49.5,49.5,49.5,49.5,,
,13,13,13,13,,4380.75
обратная бабочка,38,38,38,38,,
,15,15,15,15,,2280
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,
,15,15,15,15,,1050
штанга биц,20,20,20,20,,
,15,15,15,15,,1200
блок триц,25,25,25,25,,
,15,15,15,15,,1500
тренажер биц,37,37,37,37,,
,15,15,15,15,,2220
,,,,,,22899.55
,,,,,,
14.2.2025,,,,,,
75.4,1,2,3,4,5,6
Жим Лежа,55,55,55,55,,
,12,12,12,12,,2640
Тяга к подбородку,21,21,21,21,,
,17,17,17,17,,1428
Рычажный жим,45,45,45,45,,
,12,12,12,12,,2160
Гантели развод,7,7,7,7,,
,17,17,17,17,,476
Жим от груди,49.5,49.5,49.5,49.5,,
,12,12,12,12,,2376
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,14,14,14,14,,526.4
бабочка,49.5,49.5,49.5,49.5,,
,14,14,14,14,,4529.25
обратная бабочка,38,38,38,38,,
,17,17,17,17,,2584
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,
,17,17,17,17,,1190
штанга биц,20,20,20,20,,
,17,17,17,17,,1360
блок триц,25,25,25,25,,
,17,17,17,17,,1700
тренажер биц,37,37,37,37,,
,17,17,17,17,,2516
,,,,,,23485.65
,,,,,,
,,,,,,
7.2.2025,,,,,,
76.1,1,2,3,4,5,6
Жим Лежа,55,55,55,55,,
,13,13,13,13,,2860
Тяга к подбородку,25,25,25,25,,
,12,12,12,12,,1200
Рычажный жим,45,45,45,45,,
,13,13,13,13,,2340
Гантели развод,8,8,8,8,,
,12,12,12,12,,384
Жим от груди,49.5,49.5,49.5,49.5,,
,12,12,12,12,,2376
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,14,14,14,14,,526.4
бабочка,49.5,49.5,49.5,49.5,,
,15,15,15,15,,4677.75
обратная бабочка,42,42,42,42,,
,12,12,12,12,,2016
Разгибания из-за головы Триц,21,21,21,21,,
,12,12,12,12,,1008
штанга биц,22.5,22.5,22.5,22.5,,
,12,12,12,12,,1080
блок триц,27.5,27.5,27.5,27.5,,
,12,12,12,12,,1320
тренажер биц,45,45,45,45,,
,12,12,12,12,,2160
,,,,,,21948.15
,,,,,,
28.2.2025,,,,,,
,1,2,3,4,5,6
Жим Лежа,60,60,60,60,,
,13,13,13,10,,2940
Тяга к подбородку,24.5,24.5,24.5,24.5,,
,12,12,12,12,,1176
Рычажный жим,45,45,45,45,,
,13,13,13,13,,2340
Гантели развод,8,8,8,8,,
,12,12,12,12,,384
Жим от груди,49.5,49.5,49.5,49.5,,
,12,12,12,12,,2376
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,14,14,14,14,,526.4
бабочка,49.5,49.5,49.5,49.5,,
,15,15,15,15,,4677.75
обратная бабочка,42,42,42,42,,
,12,12,12,12,,2016
Разгибания из-за головы Триц,21,21,21,21,,
,12,12,12,12,,1008
штанга биц,25,25,25,25,,
,13,13,13,13,,1300
блок триц,27.5,27.5,27.5,27.5,,
,12,12,12,12,,1320
тренажер биц,47,47,47,47,,
,12,12,12,12,,2256
,,,,,,22320.15
,,,,,,
,,,,,,
7.3.2025,,,,,,
76.9,1,2,3,4,5,6
Жим Лежа,60,60,60,60,,
,14,14,14,14,,3360
Тяга к подбородку,24.5,24.5,24.5,24.5,,
,14,14,14,14,,1372
Рычажный жим,45,45,45,45,,
,14,14,14,14,,2520
Гантели развод,8,8,8,8,,
,14,14,14,14,,448
Жим от груди,49.5,49.5,49.5,49.5,,
,14,14,14,14,,2772
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,15,15,15,15,,564
бабочка,49.5,49.5,49.5,49.5,,
,16,16,16,16,,3168
обратная бабочка,42,42,42,42,,
,14,14,14,14,,2352
Разгибания из-за головы Триц,21,21,21,21,,
,14,14,14,14,,1176
штанга биц,25,25,25,25,,
,14,14,14,14,,1400
блок триц,27.5,27.5,27.5,27.5,,
,14,14,14,14,,1540
тренажер биц,47,47,47,47,,
,14,14,14,14,,2632
,,,,,,23304
,,,,,,
,,,,,,
14.3.2025,,,,,,
76.45,1,2,3,4,5,6
Жим Лежа,60,60,60,60,,
,15,15,15,14,,3540
Тяга к подбородку,24.5,24.5,24.5,24.5,,
,16,16,16,16,,1568
Рычажный жим,45,45,45,45,,
,15,15,15,15,,2700
Гантели развод,8,8,8,8,,
,16,16,16,16,,512
Жим от груди,49.5,49.5,49.5,49.5,,
,15,15,15,15,,2970
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,15,15,15,15,,564
бабочка,49.5,49.5,49.5,49.5,,
,18,18,18,18,,3564
обратная бабочка,42,42,42,42,,
,16,16,16,16,,2688
Разгибания из-за головы Триц,21,21,21,21,,
,16,16,16,16,,1344
штанга биц,25,25,25,25,,
,16,16,16,16,,1600
блок триц,27.5,27.5,27.5,27.5,,
,16,16,16,16,,1760
тренажер биц,47,47,47,47,,
,16,16,16,16,,3008
,,,,,,25818
,,,,,,
21.3.2025,,,,,,
,1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,12,12,12,14,,3250
Тяга к подбородку,24.5,24.5,24.5,24.5,,
,18,18,18,18,,1764
Рычажный жим,50,50,50,50,,
,12,12,12,12,,2400
Гантели развод,8,8,8,8,,
,18,18,18,18,,576
Жим от груди,55,55,55,55,,
,12,12,12,12,,2640
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,16,16,16,16,,601.6
бабочка,52,52,52,52,,
,12,12,12,12,,2496
обратная бабочка,42,42,42,42,,
,18,18,18,18,,3024
Разгибания из-за головы Триц,21,21,21,21,,
,18,18,18,18,,1512
штанга биц,25,25,25,25,,
,18,18,18,18,,1800
блок триц,27.5,27.5,27.5,27.5,,
,18,18,18,18,,1980
тренажер биц,47,47,47,47,,
,18,18,18,18,,3384
,,,,,,25427.6
,,,,,,
26.3.2025,,,,,,
75.8,1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,13,13,13,14,,3445
Тяга к подбородку,28,28,28,28,,
,13,13,13,13,,1456
Рычажный жим,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,9,9,9,9,,
,12,12,12,12,,432
Жим от груди,56.5,56.5,56.5,56.5,,
,13,13,13,13,,2938
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,17,17,17,17,,639.2
бабочка,52,52,52,52,,
,13,13,13,13,,2704
обратная бабочка,45,45,45,45,,
,13,13,13,13,,2340
Разгибания из-за головы Триц,24,24,24,24,,
,13,13,13,13,,1248
штанга биц,25,25,25,25,,
,13,13,13,13,,1300
блок триц,28.5,28.5,28.5,28.5,,
,13,13,13,13,,1482
Молот,10,10,10,10,,
,26,26,26,26,,1040
,,,,,,21624.2
,,,,,,
4.4.2025,,,,,,
77.15,1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,13,13,13,14,,3445
Тяга к подбородку,28,28,28,28,,
,13,13,13,13,,1456
Рычажный жим,50,50,50,50,,
,13,13,13,13,,2600
Гантели развод,9,9,9,9,,
,13,13,13,13,,468
Жим от груди,56.5,56.5,56.5,56.5,,
,13,13,13,13,,2938
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,17,17,17,17,,639.2
бабочка,52,52,52,52,,
,13,13,13,13,,2704
обратная бабочка,45,45,45,45,,
,13,13,13,13,,2340
Разгибания из-за головы Триц,24,24,24,24,,
,13,13,13,13,,1248
штанга биц,25,25,25,25,,
,13,13,13,13,,1300
блок триц,28.5,28.5,28.5,28.5,,
,13,13,13,13,,1482
Молот,10,10,10,10,,
,26,26,26,26,,1040
,,,,,,21660.2
,,,,,,
,,,,,,
11.4.2025,,,,,,
77.15,1,2,3,4,5,6
Жим Лежа,65,65,65,65,,
,15,15,15,14,,3835
Тяга к подбородку,28,28,28,28,,
,15,15,15,15,,1680
Рычажный жим,50,50,50,50,,
,15,15,15,15,,3000
Гантели развод,9,9,9,9,,
,15,15,15,15,,540
Жим от груди,56.5,56.5,56.5,56.5,,
,15,15,15,15,,3390
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,17,17,17,17,,639.2
бабочка,52,52,52,52,,
,15,15,15,15,,3120
обратная бабочка,45,45,45,45,,
,15,15,15,15,,2700
Разгибания из-за головы Триц,24,24,24,24,,
,15,15,15,15,,1440
штанга биц,25,25,25,25,,
,15,15,15,15,,1500
блок триц,28.5,28.5,28.5,28.5,,
,15,15,15,15,,1710
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,24754.2
,,,,,,
11.4.2025,,,,,,
76.8,1,2,3,4,5,6
Жим Лежа,70,70,70,70,,
,12,12,12,14,,3500
Тяга к подбородку,28,28,28,28,,
,17,17,17,17,,1904
Рычажный жим,55,55,55,55,,
,12,12,12,12,,2640
Гантели развод,9,9,9,9,,
,17,17,17,17,,612
Жим от груди,56.5,56.5,56.5,56.5,,
,12,12,12,12,,2712
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25110.8
,,,,,,
25.4.2025,,,,,,
77,1,2,3,4,5,6
Жим Лежа,70,70,70,70,,
,13,13,13,14,,3710
Тяга к подбородку,28,28,28,28,,
,18,18,18,18,,2016
Рычажный жим,45,45,45,45,,
,13,13,13,13,,2340
Гантели развод,9,9,9,9,,
,17,17,17,17,,612
Жим от груди,56.5,56.5,56.5,56.5,,
,12,12,12,12,,2712
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25132.8
,,,,,,
,,,,,,
,,,,,,
2.5.2025,,,,,,
76.75,1,2,3,4,5,6
Жим Лежа,70,70,70,70,,
,13,13,13,14,,3710
Тяга к подбородку,28,28,28,28,,
,18,18,18,18,,2016
Рычажный жим,45,45,45,45,,
,13,13,13,13,,2340
Гантели развод,9,9,9,9,,
,17,17,17,17,,612
Жим от груди,56.5,56.5,56.5,56.5,,
,12,12,12,12,,2712
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
,17,17,17,17,,1700
блок триц,28.5,28.5,28.5,28.5,,
,17,17,17,17,,1938
Молот,10,10,10,10,,
,30,30,30,30,,1200
,,,,,,25132.8
,,,,,,
,,,,,,
23.5.2025,,,,,,
76.75,1,2,3,4,5,6
Жим Лежа,70,70,70,70,,
,13,13,13,14,,3710
Тяга к подбородку,28,28,28,28,,
,18,18,18,18,,2016
Рычажный жим,45,45,45,45,,
,13,13,13,13,,2340
Гантели развод,9,9,9,9,,
,17,17,17,17,,612
Жим от груди,56.5,56.5,56.5,56.5,,
,12,12,12,12,,2712
Фронтальные подъемы вреевки перед собой,9.4,9.4,9.4,9.4,,
,18,18,18,18,,676.8
бабочка,52,52,52,52,,
,17,17,17,17,,3536
обратная бабочка,45,45,45,45,,
,17,17,17,17,,3060
Разгибания из-за головы Триц,24,24,24,24,,
,17,17,17,17,,1632
штанга биц,25,25,25,25,,
