28.10.2024,,,,,,,
блок триц,23.5,23.5,23.5,23.5,,,
,12,12,12,12,,1128,
тренажер биц,32,32,32,32,,,
,12,12,12,12,,1536,
,,,,,,13326,
,,,,,,,
23.12.2024,,,,,,,
75.5,1,2,3,4,5,6,
Верхний блок,45,45,45,45,,,
,12,12,12,12,,2160,
Тяга к подбородку,17.5,17.5,17.5,17.5,,,
,14,14,14,14,,980,
Фронтальная Тяга,40,40,40,40,,,
,12,12,12,12,,1920,
Гантели развод,6,6,6,6,,,
,14,14,14,14,,336,
Нижний блок,40,40,40,40,,,
,12,12,12,12,,1920,
Обр бабочка,31,31,31,31,,,
,14,14,14,14,,1736,
Разгибания из-за головы Триц,15,15,15,15,,,
,14,14,14,14,,840,
штанга биц,17.5,17.5,17.5,17.5,,,
,14,14,14,14,,980,
блок триц,23.5,23.5,23.5,23.5,,,
,14,14,14,14,,1316,
тренажер биц,32,32,32,32,,,
,14,14,14,14,,1792,
,,,,,,13986,
,,,,,,,
13.01.2025,,,,,,,
74.255,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,13,13,13,13,,2444,
Тяга к подбородку,17.5,17.5,17.5,17.5,,,
,17,17,17,17,,1190,
Фронтальная Тяга,40,40,40,40,,,
,13,13,13,13,,2080,
Гантели развод,6,6,6,6,,,
,17,17,17,17,,408,
Нижний блок,40,40,40,40,,,
,13,13,13,13,,2080,
Обр бабочка,31,31,31,31,,,
,17,17,17,17,,2108,
Разгибания из-за головы Триц,15,15,15,15,,,
,16,16,16,16,,960,
штанга биц,17.5,17.5,17.5,17.5,,,
,17,17,17,17,,1190,
блок триц,23.5,23.5,23.5,23.5,,,
,17,17,17,17,,1598,
тренажер биц,32,32,32,32,,,
,17,17,17,17,,2176,
,,,,,,16240,
,,,,,,,
19.01.2025,,,,,,,
76.05,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,14,14,14,14,,2632,
Тяга к подбородку,21,21,21,21,,,
,12,12,12,12,,1008,
Фронтальная Тяга,40,40,40,40,,,
,14,14,14,14,,2240,
Гантели развод,7,7,7,7,,,
,12,12,12,12,,336,
Нижний блок,40,40,40,40,,,
,14,14,14,14,,2240,
Обр бабочка,38,38,38,38,,,
,12,12,12,12,,1824,
Разгибания из-за головы Триц,17.5,17.5,17.5,17.5,,,
,12,12,12,12,,840,
штанга биц,20,20,20,20,,,
,12,12,12,12,,960,
блок триц,25,25,25,25,,,
,12,12,12,12,,1200,
тренажер биц,37,37,37,37,,,
,12,12,12,12,,1776,
,,,,,,15062,
,,,,,,,
,,,,,,,
27.01.2025,,,,,,,
77,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
